Stock,Current Price,Previous Close
RELIANCE,1272.85,1262.9
TCS,4473.9,4454.95
INFY,1999.7,1987.0
HDFCBANK,1871.75,1859.25
ICICIBANK,1344.9,1329.25
HINDUNILVR,2390.1,2344.95
KOTAKBANK,1805.65,1768.7
SBIN,861.55,853.7
ITC,470.0,460.6
BHARTIARTL,1681.75,1610.55
WIPRO,309.95,309.1
AXISBANK,1148.15,1145.65
MARUTI,11272.55,11167.4
LT,3887.0,3859.9
SUNPHARMA,1813.45,1805.45
TITAN,3508.85,3445.75
BAJFINANCE,7182.8,7125.8
ONGC,254.25,254.05
NTPC,357.15,355.6
POWERGRID,333.85,329.2
HCLTECH,1968.8,1936.2
ULTRACEMCO,12083.9,11856.95
ASIANPAINT,2407.65,2389.55
BAJAJFINSV,1679.7,1679.3
COALINDIA,410.3,409.1
M&M,3081.4,3067.45
TECHM,1796.4,1789.6
HDFC,N/A,N/A
INDUSINDBK,986.65,997.95
TATASTEEL,148.95,150.78
NESTLEIND,2253.5,2224.05
JSWSTEEL,999.85,1005.8
DRREDDY,1246.35,1245.4
ADANIPORTS,1259.95,1244.0
GRASIM,2692.7,2660.05
CIPLA,1447.3,1445.4
BPCL,301.7,302.15
DIVISLAB,5876.7,5951.7
SBILIFE,1428.8,1432.5
BRITANNIA,4850.1,4828.35
EICHERMOT,4825.9,4807.65
UPL,550.25,547.45
SHREECEM,27591.45,27228.75
HEROMOTOCO,4575.45,4556.75
TATAMOTORS,790.3,786.35
IOC,144.24,141.48
BAJAJ-AUTO,9021.4,8963.25
HINDALCO,662.1,668.7